"","reg","site","connectance","web asymmetry","links per species","number of compartments","compartment diversity","cluster coefficient","nestedness","NODF","weighted nestedness","weighted NODF","interaction strength asymmetry","specialisation asymmetry","linkage density","weighted connectance","Fisher alpha","Shannon diversity","interaction evenness","Alatalo interaction evenness","H2","number.of.species.HL","number.of.species.LL","mean.number.of.shared.partners.HL","mean.number.of.shared.partners.LL","cluster.coefficient.HL","cluster.coefficient.LL","weighted.cluster.coefficient.HL","weighted.cluster.coefficient.LL","niche.overlap.HL","niche.overlap.LL","togetherness.HL","togetherness.LL","C.score.HL","C.score.LL","V.ratio.HL","V.ratio.LL","discrepancy.HL","discrepancy.LL","extinction.slope.HL","extinction.slope.LL","robustness.HL","robustness.LL","functional.complementarity.HL","functional.complementarity.LL","partner.diversity.HL","partner.diversity.LL","generality.HL","vulnerability.LL","consumer_degree","consumer_normalised.degree","resource_degree","resource_normalised.degree"
"425","neo","Cockscomb",0.392857142857143,-0.272727272727273,1,2,1.92607022425223,0.357142857142857,35.2604250102355,22.2222222222222,0.278346139151845,0,0,0.367348951825755,2.54545454545454,0.231404958677686,4294967301.5,2.39789527279837,0.719612276340233,1,0,4,7,1,0.523809523809524,0.392857142857143,0.392857142857143,0,0,0.388888888888889,0.333333333333333,0.305555555555556,0.301587301587302,0.5,0.571428571428571,0.523809523809524,0.909090909090909,5,4,1.60694678938066,3.02465484321533,0.611904761904762,0.74774692970594,6.15947173974921,4.94558441227157,0.967800252726973,0.313889225333746,2.75,1.57142857142857,2.5,0.357142857142857,1,0.25
"426","neo","Columbia River Forest",0.392857142857143,-0.272727272727273,1,2,1.92607022425223,0.357142857142857,35.2604250102355,22.2222222222222,0.308974691198065,0,0,0.367348951825755,2.54545454545454,0.231404958677686,4294967301.5,2.39789527279837,0.719612276340233,1,0,4,7,1,0.523809523809524,0.392857142857143,0.392857142857143,0,0,0.388888888888889,0.333333333333333,0.305555555555556,0.301587301587302,0.5,0.571428571428571,0.523809523809524,0.909090909090909,5,4,1.4188843123277,3.5075351078921,0.571428571428571,0.77022626924683,6.15947173974921,4.94558441227157,0.967800252726973,0.313889225333746,2.75,1.57142857142857,2.5,0.357142857142857,1,0.25
"427","neo","Corcovado",0.416666666666667,-0.2,1,2,1.84202277503731,0.333333333333333,34.2881304532743,28.5714285714286,-0.0711378340164815,0,0,0.333333333333333,2.5,0.25,2147483653,2.30258509299405,0.724526775162254,1,0,4,6,1,0.6,0.416666666666667,0.416666666666667,0,0,0.388888888888889,0.333333333333333,0.333333333333333,0.288888888888889,0.5,0.533333333333333,0.666666666666667,1,4,3,1.66947344705573,3.00631012689768,0.623333333333333,0.757278936913689,5.71387339089521,4.82842712474619,0.866433975699932,0.366204096222703,2.5,1.66666666666667,2,0.333333333333333,1,0.25
"428","neo","Cordillera Central",0.371428571428571,-0.166666666666667,1.08333333333333,2,1.88988157484231,0.285714285714286,33.1751676899442,22.5806451612903,0.454944891962291,0,0,0.345150637458845,2.84615384615385,0.237179487179487,4294967302.5,2.56494935746154,0.721434108025706,1,0,5,7,1.2,0.571428571428571,0.371428571428571,0.371428571428571,0,0,0.5,0.314285714285714,0.4,0.285714285714286,0.4,0.571428571428571,0.571428571428572,1.66666666666667,5,3,1.63763422065445,2.82367835743511,0.63620238286794,0.748100195016463,6.09119118415507,5.48313578142794,0.912869638293567,0.396084103177112,2.6,1.85714285714286,2,0.285714285714286,1,0.2
"429","neo","Cuzco Amazonico",0.246753246753247,-0.222222222222222,1.05555555555556,2,1.5691925832142,0.181818181818182,38.4000540843425,19.0789473684211,0.0600590298597083,0,0,0.242018827083124,2.73684210526316,0.152046783625731,4294967305.5,2.94443897916644,0.677847806983473,1,0,7,11,0.571428571428571,0.381818181818182,0.246753246753247,0.246753246753247,0,0,0.225245653817082,0.216796536796537,0.144557823129252,0.137878787878788,0.705952380952381,0.695454545454545,0.733333333333333,0.756756756756757,11,8,1.66433071584364,2.95140087565925,0.62107172984094,0.741501896438444,11.1981762968659,11.414267703727,0.923066882336245,0.414940744678894,2.71428571428571,1.72727272727273,2,0.181818181818182,1,0.142857142857143
"430","neo","Darien",0.296296296296296,-0.2,1.06666666666667,2,1.48093621757944,0.222222222222222,43.5464209371659,25.4901960784314,0.00854449027695973,0,0,0.169915461092768,2.75,0.183333333333333,4294967304,2.77258872223978,0.69506137148576,1,0,6,9,0.6,0.527777777777778,0.296296296296296,0.296296296296296,0,0,0.194708994708995,0.266666666666667,0.126666666666667,0.188271604938272,0.711666666666667,0.606481481481482,1.09677419354839,0.555555555555555,8,6,1.66398466056233,2.59995429433204,0.623617889849478,0.718717150880995,10.1057715695284,9.93979582217089,0.845862302538971,0.475185124335117,2.66666666666667,1.77777777777778,2,0.222222222222222,2,0.333333333333333
"431","neo","Defensores del Chaco",0.305555555555556,0,0.916666666666667,3,2.3811015779523,0.333333333333333,49.7589565243571,15,-0.0618194906865832,0,0,0.143887479940879,2.36363636363636,0.196969696969697,4294967301.5,2.39789527279837,0.669145416552886,1,0,6,6,0.6,0.4,0.305555555555556,0.305555555555556,0,0,0.28,0.177142857142857,0.25,0.125,0.666666666666667,0.733333333333333,0.459459459459459,1.23255813953488,3,4,1.54543406315199,1.81574335245402,0.604340368546015,0.64605158406359,6.82472533902463,7.81248651728052,0.529675638391324,0.414151108298,1.83333333333333,1.83333333333333,2,0.333333333333333,1,0.166666666666667
"432","neo","East Centla",0.392857142857143,-0.272727272727273,1,2,1.92607022425223,0.357142857142857,35.2604250102355,22.2222222222222,0.31883946633889,0,0,0.367348951825755,2.54545454545454,0.231404958677686,4294967301.5,2.39789527279837,0.719612276340233,1,0,4,7,1,0.523809523809524,0.392857142857143,0.392857142857143,0,0,0.388888888888889,0.333333333333333,0.305555555555556,0.301587301587302,0.5,0.571428571428571,0.523809523809524,0.909090909090909,5,3,1.54994482517167,3.43899062079617,0.602857142857143,0.776592205976367,6.15947173974921,4.94558441227157,0.967800252726973,0.313889225333746,2.75,1.57142857142857,2.5,0.357142857142857,1,0.25
"433","neo","El Palmar",0.555555555555556,0,0.833333333333333,2,1.88988157484231,0.666666666666667,47.3151753493418,0,-0.629327902240326,0,0,0,1.8,0.3,2147483650.5,1.6094379124341,0.732486760358964,1,0,3,3,0.666666666666667,0.666666666666667,0.555555555555555,0.555555555555555,NA,NA,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.666666666666667,0.666666666666667,0.333333333333333,0.333333333333333,1,1,1.96276545541106,1.91533581432258,0.6475,0.6725,3.46410161513775,3.46410161513775,0.462098120373297,0.462098120373297,1.66666666666667,1.66666666666667,2,0.666666666666667,2,0.666666666666667
"434","neo","El Rey",0.583333333333333,0.142857142857143,1,2,1.81896851165317,0.666666666666667,26.8672325217995,0,-0.825993555316863,0,0,0,2.28571428571429,0.326530612244898,536870961.21429,1.94591014905531,0.783091851446946,1,0,4,3,1,1,0.583333333333333,0.583333333333333,NA,0,0.5,0.333333333333333,0.5,0.333333333333333,0.5,0.666666666666667,0.333333333333333,1,1,1,2.81025094642272,2.14516867564689,0.711111111111111,0.68625,3.46410161513775,4,0.519860385419959,0.732408192445406,1.75,2.33333333333333,2,0.666666666666667,3,0.75
